"filename", "language", "TypeScript", "CSS", "HTML", "JSON with Comments", "JavaScript", "JSON", "Markdown", "Database", "C#", "XML", "comment", "blank", "total"
"/Users/masterfoo/bin/dpl-project/API/Extensions/ApplicationServiceExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"/Users/masterfoo/bin/dpl-project/API/Extensions/DateTimeExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"/Users/masterfoo/bin/dpl-project/API/Extensions/IdentityServiceExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"/Users/masterfoo/bin/dpl-project/API/HelperFunctions/AutoMapperProfiles.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 13, 12, 57
"/Users/masterfoo/bin/dpl-project/API/HelperFunctions/FormatName.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 0, 19
"/Users/masterfoo/bin/dpl-project/API/HelperFunctions/ParseSeedData.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 2, 12, 56
"/Users/masterfoo/bin/dpl-project/API/Interfaces/IBugRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 10, 28
"/Users/masterfoo/bin/dpl-project/API/Interfaces/ICommentRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 5, 11, 29
"/Users/masterfoo/bin/dpl-project/API/Interfaces/IProjectRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 9, 25
"/Users/masterfoo/bin/dpl-project/API/Interfaces/ITokenService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 1, 14
"/Users/masterfoo/bin/dpl-project/API/Interfaces/IUserRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 9, 25
"/Users/masterfoo/bin/dpl-project/API/Interfaces/IUsersAssignedRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 6, 19
"/Users/masterfoo/bin/dpl-project/API/Migrations/20230102211454_TestingDatabase.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 1, 72, 263
"/Users/masterfoo/bin/dpl-project/API/Migrations/20230102211454_TestingDatabase.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 16, 177
"/Users/masterfoo/bin/dpl-project/API/Migrations/DataContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 1, 72, 261
"/Users/masterfoo/bin/dpl-project/API/Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 4, 8, 54
"/Users/masterfoo/bin/dpl-project/API/Properties/launchSettings.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"/Users/masterfoo/bin/dpl-project/API/Services/TokenService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 2, 7, 49
"/Users/masterfoo/bin/dpl-project/API/Startup.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 4, 13, 85
"/Users/masterfoo/bin/dpl-project/API/appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/Users/masterfoo/bin/dpl-project/API/dpl-project.db", "Database", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 6, 113
"/Users/masterfoo/bin/dpl-project/client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14, 28
"/Users/masterfoo/bin/dpl-project/client/angular.json", "JSON", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 111
"/Users/masterfoo/bin/dpl-project/client/karma.conf.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 2, 45
"/Users/masterfoo/bin/dpl-project/client/package-lock.json", "JSON", 0, 0, 0, 0, 0, 10744, 0, 0, 0, 0, 0, 1, 10745
"/Users/masterfoo/bin/dpl-project/client/package.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 49
"/Users/masterfoo/bin/dpl-project/client/src/app/_guards/auth.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/masterfoo/bin/dpl-project/client/src/app/_guards/auth.guard.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 31
"/Users/masterfoo/bin/dpl-project/client/src/app/_interceptors/error.interceptor.spec.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
